"town","median2018","median2017","median2013","median2008","change1yr","change5yr","change10yr","marketdays2018","marketdays2017","marketdays1yrchange"
Mansfield,"450,000","450,000","364,450","391,750",0%,23%,15%,47,50,-6%
Marblehead,"689,500","662,500","526,500","484,500",4%,31%,42%,63,72,-13%
Marlborough,"391,000","360,000","291,500","302,600",9%,34%,29%,35,52,-33%
Marshfield,"450,000","470,000","374,000","379,900",-4%,20%,18%,62,71,-13%
Maynard,"382,100","385,000","320,000","311,000",-1%,19%,23%,36,41,-12%
Medfield,"651,000","681,000","575,000","597,500",-4%,13%,9%,53,64,-17%
Medford,"617,000","597,000","409,000","356,500",3%,51%,73%,24,25,-4%
Medway,"449,000","408,000","373,000","352,500",10%,20%,27%,54,46,17%
Melrose,"650,000","617,000","433,750","400,250",5%,50%,62%,24,29,-17%
Merrimac,"410,000","432,450","324,000","398,500",-5%,27%,3%,56,82,-32%
Methuen,"360,000","342,000","254,000","265,000",5%,42%,36%,45,44,2%
Middleboro,"324,950","299,000","250,000","283,000",9%,30%,15%,56,67,-16%
Middleton,"627,500","645,000","524,900","405,000",-3%,20%,55%,47,62,-24%
Milford,"349,450","331,000","275,000","265,750",6%,27%,31%,42,46,-9%
Millis,"420,000","450,000","340,000","335,250",-7%,24%,25%,44,63,-30%
Milton,"707,500","646,500","500,000","450,000",9%,42%,57%,56,46,22%
Nahant,"580,000","674,500","455,000","387,500",-14%,27%,50%,111,103,8%
Natick,"625,000","600,000","460,000","420,000",4%,36%,49%,40,46,-13%
Needham,"1,078,000","989,018","805,000","659,000",9%,34%,64%,44,56,-21%
Newbury,"530,000","495,000","384,000","410,000",7%,38%,29%,87,65,34%
Newburyport,"612,450","627,500","505,000","452,000",-2%,21%,35%,63,76,-17%
Newton,"1,205,000","1,200,000","910,000","755,000",0%,32%,60%,50,47,6%
Norfolk,"570,000","555,000","450,000","472,000",3%,27%,21%,53,73,-27%
NorthAndover,"590,000","570,000","487,200","509,750",4%,21%,16%,57,55,4%
NorthAttleboro,"380,000","374,000","345,000","320,000",2%,10%,19%,64,64,0%
NorthReading,"555,000","548,000","462,000","441,250",1%,20%,26%,43,49,-12%
Norton,"379,000","369,900","275,000","330,000",2%,38%,15%,55,54,2%
Norwell,"637,500","669,000","582,500","560,000",-5%,9%,14%,75,83,-10%
Norwood,"475,000","440,000","360,000","359,900",8%,32%,32%,33,43,-23%
Peabody,"445,000","414,000","321,750","319,500",7%,38%,39%,30,37,-19%
Pembroke,"400,000","370,000","326,250","348,500",8%,23%,15%,72,54,33%
Pepperell,"350,000","375,000","285,000","310,000",-7%,23%,13%,46,69,-33%
Plainville,"362,500","421,025","350,000","380,000",-14%,4%,-5%,54,58,-7%
Plymouth,"380,000","350,000","290,000","305,000",9%,31%,25%,72,87,-17%
Plympton,"430,000","400,000","313,000","311,000",8%,37%,38%,77,85,-9%
Quincy,"493,750","450,000","353,500","333,000",10%,40%,48%,38,49,-22%
Randolph,"375,000","352,260","240,000","256,500",6%,56%,46%,34,42,-19%
Raynham,"420,500","376,500","293,500","299,750",12%,43%,40%,57,67,-15%
Reading,"625,000","597,500","460,000","400,000",5%,36%,56%,35,31,13%
Revere,"435,500","376,500","259,900","242,000",16%,68%,80%,33,42,-21%
Rockland,"340,000","318,000","237,500","258,500",7%,43%,32%,39,32,22%
Rockport,"625,000","558,750","525,000","415,300",12%,19%,50%,92,88,5%
Rowley,"533,000","511,500","399,900","440,000",4%,33%,21%,45,65,-31%
Salem,"425,000","381,750","310,000","298,000",11%,37%,43%,39,42,-7%
Salisbury,"409,000","370,000","280,000","274,500",11%,46%,49%,75,61,23%
Saugus,"445,000","415,000","310,750","300,000",7%,43%,48%,36,35,3%
Scituate,"589,500","576,500","475,000","459,000",2%,24%,28%,69,97,-29%
Sharon,"530,000","515,900","487,000","365,000",3%,9%,45%,52,60,-13%
Sherborn,"844,000","825,000","745,000","710,000",2%,13%,19%,115,114,1%
Shirley,"378,500","386,950","275,000","359,500",-2%,38%,5%,53,78,-32%
Somerville,"795,000","733,750","549,350","399,750",8%,45%,99%,36,28,29%
Southboro,"630,000","570,000","530,650","492,000",11%,19%,28%,56,69,-19%
Stoneham,"560,000","537,500","410,000","385,000",4%,37%,45%,34,41,-17%
Stoughton,"380,000","372,000","300,000","285,000",2%,27%,33%,38,40,-5%
Stow,"566,250","520,000","436,000","505,000",9%,30%,12%,57,67,-15%
Sudbury,"749,950","735,000","680,000","604,000",2%,10%,24%,67,76,-12%
Swampscott,"580,000","530,000","435,500","415,000",9%,33%,40%,63,57,11%
Taunton,"313,000","285,000","227,500","252,025",10%,38%,24%,49,46,7%
Tewksbury,"439,000","425,000","320,000","320,000",3%,37%,37%,36,36,0%
Topsfield,"597,500","600,000","480,000","480,000",0%,24%,24%,63,78,-19%
Townsend,"303,500","288,000","225,000","259,500",5%,35%,17%,51,69,-26%
Tyngsborough,"430,000","399,000","346,500","359,900",8%,24%,19%,36,61,-41%
Wakefield,"555,000","520,000","418,500","383,250",7%,33%,45%,30,35,-14%
Walpole,"545,000","492,000","437,500","383,000",11%,25%,42%,45,45,0%
Waltham,"607,500","582,000","438,000","396,000",4%,39%,53%,32,34,-6%
Watertown,"670,000","644,500","480,000","419,000",4%,40%,60%,26,26,0%
Wayland,"787,000","700,000","612,025","505,000",12%,29%,56%,57,63,-10%
Wellesley,"1,437,500","1,380,000","1,126,500","1,102,000",4%,28%,30%,70,93,-25%
Wenham,"699,900","545,000","469,500","441,000",28%,49%,59%,94,59,59%
WestBridgewater,"369,000","366,000","296,250","277,550",1%,25%,33%,49,60,-18%
WestNewbury,"553,650","552,450","467,000","472,500",0%,19%,17%,92,88,5%
Westford,"585,000","565,000","460,000","438,000",4%,27%,34%,45,65,-31%
Weston,"1,537,500","1,395,000","1,235,750","1,327,500",10%,24%,16%,130,137,-5%
Westwood,"780,000","727,500","620,000","489,950",7%,26%,59%,58,74,-22%
Weymouth,"410,000","395,000","299,000","298,000",4%,37%,38%,39,43,-9%
Whitman,"330,500","331,450","248,500","255,000",0%,33%,30%,40,36,11%
Wilmington,"537,950","490,500","372,250","355,000",10%,45%,52%,39,43,-9%
Winchester,"1,189,500","1,100,000","874,668","731,575",8%,36%,63%,57,51,12%
Winthrop,"523,000","475,000","328,000","326,500",10%,59%,60%,38,36,6%
Woburn,"499,950","472,500","360,000","330,000",6%,39%,52%,33,37,-11%
Wrentham,"500,000","478,000","448,358","425,000",5%,12%,18%,52,79,-34%
